"Country","Region","Subregion","Indicator","2010","2011","2012"
"Afghanistan","Asia","Southern Asia","Homicide Total Count",983,1231,1948
"Afghanistan","Asia","Southern Asia","Homicide Rate",3.4,4.1,6.3
"Albania","Europe","Southern Europe","Homicide Total Count",127,142,157
"Albania","Europe","Southern Europe","Homicide Rate",4.3,4.9,5.4
"Algeria","Africa","Northern Africa","Homicide Total Count",254,280,523
"Algeria","Africa","Northern Africa","Homicide Rate",0.7,0.8,1.4
"American Samoa","Oceania","Polynesia","Homicide Total Count",5,5,2
"American Samoa","Oceania","Polynesia","Homicide Rate",9,9,3.6
"Andorra","Europe","Southern Europe","Homicide Total Count",0,1,0
"Andorra","Europe","Southern Europe","Homicide Rate",0,1.2,0
"Angola","Africa","Middle Africa","Homicide Total Count",,1055,1217
"Angola","Africa","Middle Africa","Homicide Rate",,4.4,4.8
"Anguilla","Americas","Caribbean","Homicide Total Count",0,0,5
"Anguilla","Americas","Caribbean","Homicide Rate",0,0,35.4
"Antigua and Barbuda","Americas","Caribbean","Homicide Total Count",6,,10
"Antigua and Barbuda","Americas","Caribbean","Homicide Rate",6.3,,10.3
"Argentina","Americas","South America","Homicide Total Count",2384,2511,2648
"Argentina","Americas","South America","Homicide Rate",5.8,6.1,6.3
"Armenia","Asia","Western Asia","Homicide Total Count",56,71,65
"Armenia","Asia","Western Asia","Homicide Rate",1.9,2.5,2.3
"Aruba","Americas","Caribbean","Homicide Total Count",4,2,4
"Aruba","Americas","Caribbean","Homicide Rate",3.9,2,3.9
"Australia","Oceania","Australia and New Zealand","Homicide Total Count",231,248,243
"Australia","Oceania","Australia and New Zealand","Homicide Rate",1,1.1,1.1
"Austria","Europe","Western Europe","Homicide Total Count",58,75,79
"Austria","Europe","Western Europe","Homicide Rate",0.7,0.9,0.9
"Azerbaijan","Asia","Western Asia","Homicide Total Count",206,,202
"Azerbaijan","Asia","Western Asia","Homicide Rate",2.3,,2.2
"Bahamas","Americas","Caribbean","Homicide Total Count",94,127,111
"Bahamas","Americas","Caribbean","Homicide Rate",26.1,34.6,29.8
"Bahrain","Asia","Western Asia","Homicide Total Count",11,7,4
"Bahrain","Asia","Western Asia","Homicide Rate",0.9,0.5,0.3
"Bangladesh","Asia","Southern Asia","Homicide Total Count",3988,3966,4114
"Bangladesh","Asia","Southern Asia","Homicide Rate",2.6,2.6,2.6
"Barbados","Americas","Caribbean","Homicide Total Count",31,27,22
"Barbados","Americas","Caribbean","Homicide Rate",11.1,9.6,7.8
"Belarus","Europe","Eastern Europe","Homicide Total Count",401,373,340
"Belarus","Europe","Eastern Europe","Homicide Rate",4.2,3.9,3.6
"Belgium","Europe","Western Europe","Homicide Total Count",189,214,205
"Belgium","Europe","Western Europe","Homicide Rate",1.7,1.9,1.8
"Belize","Americas","Central America","Homicide Total Count",129,124,145
"Belize","Americas","Central America","Homicide Rate",40.1,37.7,43.1
"Benin","Africa","Western Africa","Homicide Total Count",,,
"Benin","Africa","Western Africa","Homicide Rate",,,
"Bermuda","Americas","Northern America","Homicide Total Count",7,8,6
"Bermuda","Americas","Northern America","Homicide Rate",10.9,12.6,9.5
"Bhutan","Asia","Southern Asia","Homicide Total Count",16,32,33
"Bhutan","Asia","Southern Asia","Homicide Rate",2.2,4.3,4.4
"Bolivia (Plurinational State of)","Americas","South America","Homicide Total Count",1273,1236,1221
"Bolivia (Plurinational State of)","Americas","South America","Homicide Rate",12.8,12.3,11.9
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Total Count",,,
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Rate",,,
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Total Count",56,51,63
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Rate",1.5,1.4,1.7
"Botswana","Africa","Southern Africa","Homicide Total Count",303,,
"Botswana","Africa","Southern Africa","Homicide Rate",15,,
"Brazil","Americas","South America","Homicide Total Count",43272,48084,53054
"Brazil","Americas","South America","Homicide Rate",22,24.2,26.5
"British Virgin Islands","Americas","Caribbean","Homicide Total Count",,,
"British Virgin Islands","Americas","Caribbean","Homicide Rate",,,
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Total Count",1,1,4
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Rate",0.3,0.3,1
"Bulgaria","Europe","Eastern Europe","Homicide Total Count",148,128,141
"Bulgaria","Europe","Eastern Europe","Homicide Rate",2,1.7,1.9
"Burkina Faso","Africa","Western Africa","Homicide Total Count",123,90,115
"Burkina Faso","Africa","Western Africa","Homicide Rate",0.8,0.6,0.7
"Burundi","Africa","Eastern Africa","Homicide Total Count",347,349,500
"Burundi","Africa","Eastern Africa","Homicide Rate",4,3.9,5.4
"Cabo Verde","Africa","Western Africa","Homicide Total Count",39,53,56
"Cabo Verde","Africa","Western Africa","Homicide Rate",7.8,10.4,10.9
"Cambodia","Asia","South-Eastern Asia","Homicide Total Count",331,268,
"Cambodia","Asia","South-Eastern Asia","Homicide Rate",2.3,1.8,
"Cameroon","Africa","Middle Africa","Homicide Total Count",999,835,880
"Cameroon","Africa","Middle Africa","Homicide Rate",5,4.1,4.2
"Canada","Americas","Northern America","Homicide Total Count",556,606,548
"Canada","Americas","Northern America","Homicide Rate",1.6,1.8,1.6
"Cayman Islands","Americas","Caribbean","Homicide Total Count",9,,
"Cayman Islands","Americas","Caribbean","Homicide Rate",16.2,,
"Central African Republic","Africa","Middle Africa","Homicide Total Count",,,
"Central African Republic","Africa","Middle Africa","Homicide Rate",,,
"Chad","Africa","Middle Africa","Homicide Total Count",,,
"Chad","Africa","Middle Africa","Homicide Rate",,,
"Channel Islands","Europe","Northern Europe","Homicide Total Count",0,,
"Channel Islands","Europe","Northern Europe","Homicide Rate",0,,
